City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Vila Velha,BR,2021-05-30 19:59:59,-20.3297,-40.2925,80.94,79,0,5.99
137,Glomfjord,NO,2021-05-30 20:03:53,66.8167,13.9667,46.92,95,100,4.76
138,Abeokuta,NG,2021-05-30 20:03:53,7.15,3.35,78.26,88,74,4.05
139,Magaria,NE,2021-05-30 20:03:54,12.9983,8.9099,92.16,8,4,8.88
140,Las Vegas,US,2021-05-30 20:03:54,36.175,-115.1372,98.55,9,1,5.75
141,Nabire,ID,2021-05-30 20:03:55,-3.3667,135.4833,76.08,94,99,2.15
142,Shache,CN,2021-05-30 20:02:50,38.4167,77.2406,75.36,30,100,7.31
143,East London,ZA,2021-05-30 20:00:38,-33.0153,27.9116,58.08,59,66,5.73
144,Cerqueira Cesar,BR,2021-05-30 20:03:55,-23.0356,-49.1661,67.41,73,90,12.57
145,Ocos,GT,2021-05-30 20:03:56,14.5094,-92.1933,90.73,65,54,8.97
146,Wonthaggi,AU,2021-05-30 20:03:56,-38.6044,145.5913,34.05,80,0,5.93
147,Sisimiut,GL,2021-05-30 20:03:56,66.9395,-53.6735,34.36,83,94,8.19
148,Tessalit,ML,2021-05-30 20:03:57,20.1986,1.0114,99.36,7,100,9.35
149,Castro,BR,2021-05-30 20:03:57,-24.7911,-50.0119,56.43,98,100,3.29
150,Danielskuil,ZA,2021-05-30 20:03:58,-28.1887,23.5395,44.8,42,50,4.07
151,Yulara,AU,2021-05-30 20:03:58,-25.2406,130.9889,51.89,39,97,8.39
152,Skibbereen,IE,2021-05-30 20:03:59,51.55,-9.2667,58.8,85,9,4.9
153,Mogadishu,SO,2021-05-30 20:00:09,2.0371,45.3438,78.55,87,88,16.87
154,Hofn,IS,2021-05-30 20:03:59,64.2539,-15.2082,46.67,99,100,19.3
155,Vao,NC,2021-05-30 20:04:00,-22.6667,167.4833,69.15,61,95,14.83
156,Polunochnoye,RU,2021-05-30 20:04:00,60.8697,60.4153,39.61,88,100,3.69
157,Villamontes,BO,2021-05-30 20:04:00,-21.25,-63.5,67.77,39,100,5.21
158,Micheweni,TZ,2021-05-30 20:04:01,-4.9667,39.8333,76.48,84,11,9.13
159,Plouzane,FR,2021-05-30 20:04:01,48.3833,-4.6167,66.29,66,0,11.34
160,Hamilton,US,2021-05-30 20:03:34,39.1834,-84.5333,64.72,67,90,1.01
161,Mildura,AU,2021-05-30 20:04:02,-34.2,142.15,42.33,44,2,8.19
162,Koumac,NC,2021-05-30 20:04:02,-20.5667,164.2833,69.04,69,71,10.2
163,Clyde River,CA,2021-05-30 20:04:03,70.4692,-68.5914,31.01,82,37,1.86
164,Cape Town,ZA,2021-05-30 20:00:14,-33.9258,18.4232,56.12,76,70,3.09
165,Grindavik,IS,2021-05-30 20:04:03,63.8424,-22.4338,46.87,81,40,15.57
166,Saint George,US,2021-05-30 20:00:08,37.1041,-113.5841,95.47,12,74,1.99
167,Port Blair,IN,2021-05-30 20:04:04,11.6667,92.75,81.48,83,100,3.89
168,Bukoba,TZ,2021-05-30 20:04:04,-1.3317,31.8122,70.0,73,29,2.64
169,Tahe,CN,2021-05-30 20:04:05,52.3333,124.7333,42.73,95,31,1.14
170,Aljezur,PT,2021-05-30 20:04:05,37.3191,-8.8033,61.81,87,90,4.92
171,Mayo,US,2021-05-30 20:04:06,38.8876,-76.5119,55.96,82,90,8.01
172,Nuuk,GL,2021-05-30 20:04:06,64.1835,-51.7216,38.01,81,97,13.8
173,Khatanga,RU,2021-05-30 20:04:07,71.9667,102.5,36.28,99,98,7.58
174,Barcelona,ES,2021-05-30 20:00:32,41.3888,2.159,72.61,70,20,1.01
175,Groningen,NL,2021-05-30 20:01:58,53.25,6.75,55.06,85,1,6.62
176,Pital,CO,2021-05-30 20:04:07,2.2665,-75.8044,71.73,91,94,2.66
177,Lamu,KE,2021-05-30 20:04:08,-2.2717,40.902,79.02,83,16,12.26
178,Anadyr,RU,2021-05-30 20:01:09,64.75,177.4833,42.01,69,18,6.26
179,Balkhash,KZ,2021-05-30 20:04:08,46.844,74.9804,69.48,29,0,12.08
180,Angoche,MZ,2021-05-30 20:04:08,-16.2325,39.9086,74.7,74,0,7.81
181,Monrovia,LR,2021-05-30 20:01:09,6.3005,-10.7969,74.97,84,100,9.22
182,Haverfordwest,GB,2021-05-30 20:04:09,51.8017,-4.9691,61.34,80,10,4.94
183,Kikwit,CD,2021-05-30 20:04:09,-5.041,18.8162,76.82,45,99,2.21
